match_id,puuid,team_gold,enemy_gold,dragon,win,player_1_kills,player_1_deaths,player_1_assists,player_2_kills,player_2_deaths,player_2_assists,player_3_kills,player_3_deaths,player_3_assists,player_4_kills,player_4_deaths,player_4_assists,player_5_kills,player_5_deaths,player_5_assists,player_6_kills,player_6_deaths,player_6_assists,player_7_kills,player_7_deaths,player_7_assists,player_8_kills,player_8_deaths,player_8_assists,player_9_kills,player_9_deaths,player_9_assists,player_10_kills,player_10_deaths,player_10_assists,gold_diff,total_kills,total_deaths,total_assists,kda_ratio,gold_per_kill
EUW1_7531421488,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,14446,15188,1,True,1,2,0,2,1,0,0,3,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-742,5,7,3,1.1428571428571428,2889.2
EUW1_7530894985,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,18563,19525,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,3,1,1,4,4,5,3,5,3,6,5,-962,15,18,16,1.7222222222222223,1237.5333333333333
EUW1_7530842054,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,15149,14783,1,False,0,3,0,1,0,1,0,0,1,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,5,6,6,1.8333333333333333,3029.8
EUW1_7530805958,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,14845,14995,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0,1,0,1,0,1,-150,3,3,3,2.0,4948.333333333333
EUW1_7530759866,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,15254,14727,2,False,1,1,0,1,2,0,1,1,0,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,7,5,3,2.0,2179.1428571428573
EUW1_7530745692,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,9979,8972,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,1,0,2,0,0,0,0,3,1007,6,4,4,2.5,1663.1666666666667
EUW1_7529913535,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,15282,14241,2,True,0,1,1,2,1,2,1,1,2,1,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,5,4,10,3.75,3056.4
EUW1_7529853931,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,16376,15311,1,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,3,1,0,3,2,0,1,2,3,1065,10,7,7,2.4285714285714284,1637.6
EUW1_7529800127,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,14248,13935,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,1,0,1,0,2,0,0,2,313,5,2,5,5.0,2849.6
EUW1_7529724313,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,2643,2619,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0.0,2643.0
EUW1_7529699482,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,13528,16066,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,1,2,1,0,1,0,1,1,0,-2538,2,8,3,0.625,6764.0
EUW1_7529640362,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,13850,16301,1,True,0,2,0,1,1,2,0,2,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2451,3,7,4,1.0,4616.666666666667
EUW1_7529600527,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,15499,15218,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,1,0,1,1,3,1,1,3,2,281,7,7,5,1.7142857142857142,2214.1428571428573
EUW1_7527602712,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,15121,15069,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,2,2,0,1,0,2,52,5,4,3,2.0,3024.2
EUW1_7527559998,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,15322,16739,0,False,0,1,1,1,2,3,2,2,2,2,1,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1417,8,8,11,2.375,1915.25
EUW1_7527518770,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,16162,14248,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,2,1,0,1,2,2,0,0,1,1,1914,7,4,4,2.75,2308.8571428571427
EUW1_7527442464,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,15645,15285,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,1,2,1,2,0,2,1,3,360,7,7,7,2.0,2235.0
EUW1_7527396119,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,13688,13866,2,True,1,3,0,2,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-178,4,5,2,1.2,3422.0
EUW1_7527384932,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,3060,3436,0,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-376,0,1,0,0.0,3060.0
